Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;05-04-2019 00-28-59;VARIANT_B;23418419384
1;05-04-2019 00-29-23;VARIANT_B;23711240857
2;05-04-2019 00-29-47;VARIANT_B;24366363720
3;05-04-2019 00-30-11;VARIANT_B;23195410601
4;05-04-2019 00-30-35;VARIANT_B;24169310495
5;05-04-2019 00-30-59;VARIANT_B;23784358408
6;05-04-2019 00-31-24;VARIANT_B;25227440712
7;05-04-2019 00-31-50;VARIANT_B;26027583536
8;05-04-2019 00-32-16;VARIANT_B;25285899828
9;05-04-2019 00-32-42;VARIANT_B;26112564277
10;05-04-2019 00-33-07;VARIANT_B;25477575358
11;05-04-2019 00-33-33;VARIANT_B;25609131067
12;05-04-2019 00-33-58;VARIANT_B;25214380099
13;05-04-2019 00-34-24;VARIANT_B;25391779804
14;05-04-2019 00-34-50;VARIANT_B;25519587649
15;05-04-2019 00-35-15;VARIANT_B;25477216456
16;05-04-2019 00-35-40;VARIANT_B;25076758207
17;05-04-2019 00-36-06;VARIANT_B;25391239940
18;05-04-2019 00-36-32;VARIANT_B;25599141454
19;05-04-2019 00-36-56;VARIANT_B;24647079822
20;05-04-2019 00-37-22;VARIANT_B;25072293611
21;05-04-2019 00-37-47;VARIANT_B;24916247701
22;05-04-2019 00-38-11;VARIANT_B;24866833856
23;05-04-2019 00-38-37;VARIANT_B;25030167325
24;05-04-2019 00-39-02;VARIANT_B;24892148277
25;05-04-2019 00-39-27;VARIANT_B;25465621615
26;05-04-2019 00-39-52;VARIANT_B;24566455789
27;05-04-2019 00-40-17;VARIANT_B;24915488813
28;05-04-2019 00-40-42;VARIANT_B;25138890291
29;05-04-2019 00-41-07;VARIANT_B;24895355588
30;05-04-2019 00-41-32;VARIANT_B;24852531398
31;05-04-2019 00-41-57;VARIANT_B;25212576174
32;05-04-2019 00-42-22;VARIANT_B;24354872404
33;05-04-2019 00-42-47;VARIANT_B;24652220724
34;05-04-2019 00-43-11;VARIANT_B;24788051311
35;05-04-2019 00-43-37;VARIANT_B;24964463759
36;05-04-2019 00-44-02;VARIANT_B;25362013209
37;05-04-2019 00-44-27;VARIANT_B;25021415276
38;05-04-2019 00-44-52;VARIANT_B;25013534461
39;05-04-2019 00-45-18;VARIANT_B;25114682026
40;05-04-2019 00-45-43;VARIANT_B;25227420618
41;05-04-2019 00-46-08;VARIANT_B;24959453152
42;05-04-2019 00-46-33;VARIANT_B;24896042641
43;05-04-2019 00-46-58;VARIANT_B;24962917073
44;05-04-2019 00-47-23;VARIANT_B;25068250867
45;05-04-2019 00-47-49;VARIANT_B;25598843152
46;05-04-2019 00-48-14;VARIANT_B;25271227178
47;05-04-2019 00-48-40;VARIANT_B;25606858193
48;05-04-2019 00-49-05;VARIANT_B;24902000561
49;05-04-2019 00-49-31;VARIANT_B;25534731268
50;05-04-2019 00-49-56;VARIANT_B;25550574049
51;05-04-2019 00-50-22;VARIANT_B;25044846952
52;05-04-2019 00-50-47;VARIANT_B;25234545007
53;05-04-2019 00-51-12;VARIANT_B;25061776312
54;05-04-2019 00-51-37;VARIANT_B;24937881038
55;05-04-2019 00-52-02;VARIANT_B;25227028278
56;05-04-2019 00-52-28;VARIANT_B;25263959245
57;05-04-2019 00-52-53;VARIANT_B;25057567668
58;05-04-2019 00-53-18;VARIANT_B;24865292560
59;05-04-2019 00-53-43;VARIANT_B;25250772810
60;05-04-2019 00-54-09;VARIANT_B;25204698511
61;05-04-2019 00-54-34;VARIANT_B;25499414702
62;05-04-2019 00-55-00;VARIANT_B;25331291623
63;05-04-2019 00-55-25;VARIANT_B;25059265931
64;05-04-2019 00-55-50;VARIANT_B;25096761158
65;05-04-2019 00-56-15;VARIANT_B;25133659027
66;05-04-2019 00-56-40;VARIANT_B;24954684275
67;05-04-2019 00-57-06;VARIANT_B;25130553367
68;05-04-2019 00-57-31;VARIANT_B;25223508975
