Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;04-04-2019 22-53-21;VARIANT_B;41716555364
1;04-04-2019 22-54-04;VARIANT_B;42057721709
2;04-04-2019 22-54-45;VARIANT_B;41517266710
3;04-04-2019 22-55-27;VARIANT_B;41298258638
4;04-04-2019 22-56-09;VARIANT_B;42125906321
5;04-04-2019 22-56-54;VARIANT_B;44423809853
6;04-04-2019 22-57-35;VARIANT_B;41564772374
7;04-04-2019 22-58-18;VARIANT_B;42589484239
8;04-04-2019 22-59-00;VARIANT_B;41716911977
9;04-04-2019 22-59-42;VARIANT_B;41666288299
10;04-04-2019 23-00-26;VARIANT_B;44003758211
11;04-04-2019 23-01-10;VARIANT_B;44467397671
12;04-04-2019 23-01-54;VARIANT_B;43218471893
13;04-04-2019 23-02-37;VARIANT_B;43212000371
14;04-04-2019 23-03-22;VARIANT_B;44721605209
15;04-04-2019 23-04-05;VARIANT_B;43259308277
16;04-04-2019 23-04-48;VARIANT_B;42916346904
17;04-04-2019 23-05-32;VARIANT_B;42962126111
18;04-04-2019 23-06-14;VARIANT_B;42670850052
19;04-04-2019 23-06-57;VARIANT_B;42829453967
20;04-04-2019 23-07-45;VARIANT_B;47948486353
21;04-04-2019 23-08-29;VARIANT_B;42988076639
22;04-04-2019 23-09-12;VARIANT_B;42974433055
23;04-04-2019 23-09-55;VARIANT_B;43001825994
24;04-04-2019 23-10-39;VARIANT_B;44299743409
25;04-04-2019 23-11-25;VARIANT_B;45882354217
26;04-04-2019 23-12-11;VARIANT_B;45903330676
27;04-04-2019 23-12-56;VARIANT_B;44349399961
28;04-04-2019 23-13-40;VARIANT_B;44270197867
29;04-04-2019 23-14-25;VARIANT_B;44246120811
30;04-04-2019 23-15-09;VARIANT_B;44226645237
31;04-04-2019 23-15-53;VARIANT_B;44236081340
32;04-04-2019 23-16-38;VARIANT_B;44207496762
33;04-04-2019 23-17-22;VARIANT_B;44187588777
34;04-04-2019 23-18-06;VARIANT_B;44047820650
35;04-04-2019 23-18-50;VARIANT_B;43989237559
36;04-04-2019 23-19-34;VARIANT_B;43685076741
37;04-04-2019 23-20-18;VARIANT_B;44098643667
38;04-04-2019 23-21-03;VARIANT_B;44194894242
39;04-04-2019 23-21-47;VARIANT_B;43922764733
40;04-04-2019 23-22-32;VARIANT_B;45102649520
41;04-04-2019 23-23-17;VARIANT_B;45121478906
42;04-04-2019 23-24-06;VARIANT_B;48783773503
43;04-04-2019 23-24-51;VARIANT_B;44805497637
44;04-04-2019 23-25-36;VARIANT_B;44863082066
45;04-04-2019 23-26-22;VARIANT_B;45136842530
46;04-04-2019 23-27-07;VARIANT_B;44981347647
47;04-04-2019 23-27-52;VARIANT_B;44951679773
48;04-04-2019 23-28-37;VARIANT_B;44680655988
49;04-04-2019 23-29-24;VARIANT_B;47086686159
50;04-04-2019 23-30-09;VARIANT_B;45023633395
51;04-04-2019 23-30-54;VARIANT_B;44480232524
52;04-04-2019 23-31-39;VARIANT_B;44815529334
53;04-04-2019 23-32-24;VARIANT_B;44914363351
54;04-04-2019 23-33-09;VARIANT_B;45589758779
55;04-04-2019 23-33-57;VARIANT_B;47509903964
56;04-04-2019 23-34-42;VARIANT_B;44372744894
57;04-04-2019 23-35-26;VARIANT_B;44512051821
58;04-04-2019 23-36-11;VARIANT_B;44296008011
59;04-04-2019 23-36-55;VARIANT_B;44246961844
60;04-04-2019 23-37-40;VARIANT_B;44352572196
61;04-04-2019 23-38-24;VARIANT_B;44371955635
62;04-04-2019 23-39-08;VARIANT_B;44254972806
63;04-04-2019 23-39-56;VARIANT_B;47145557728
64;04-04-2019 23-40-40;VARIANT_B;44491227000
65;04-04-2019 23-41-25;VARIANT_B;44343000404
66;04-04-2019 23-42-09;VARIANT_B;44006671854
67;04-04-2019 23-42-53;VARIANT_B;44136993668
68;04-04-2019 23-43-38;VARIANT_B;44413654139
69;04-04-2019 23-44-24;VARIANT_B;45598936721
70;04-04-2019 23-45-09;VARIANT_B;45742090502
71;04-04-2019 23-45-55;VARIANT_B;45346992549
